,Title,Career,Education,Work_area,pay,Employment_type,Company_name,Sectors
73,재가요양보호사 구인(서구 석남동),관계없음,중졸 ~ 고졸,"인천광역시 서구 신석로 70, 자세한 문의는 구인처에 문의 (석남동)","시급 11,500원 ~ 11,500원",기간의 정함이 있는 근로계약(시간(선택)제),늘사랑재가노인복지센터,방문 복지서비스 제공업
74,환경업무 담당자 채용,경력 (최소 3년 0 개월 이상) 필수,학력무관,제주특별자치도 제주시 한림읍 명월남길 53,"연봉 5,000만원 이상",기간의 정함이 없는 근로계약,유창토건(주),제조업 회사 본부
75,단순생산직 직원 채용,관계없음,학력무관,경기도 시흥시 새우개2길 10-9 (포동),월급 191만원 ~ 200만원,기간의 정함이 없는 근로계약,이규산업,그 외 기타 특수목적용 기계 제조업
76,베리뷰 플로리스트학원 일반행정 및 SNS 홍보 마케팅,관계없음,대졸(2~3년) ~ 대졸(4년),"경기도 수원시 팔달구 향교로47번길 2, 한림빌딩 202호, 402호 (매산로2가)",월급 200만원 ~ 300만원,기간의 정함이 있는 근로계약,이화화훼주식회사,기타 기술 및 직업훈련학원
77,레이스웨이 사원모집.,관계없음,학력무관,경기도 안산시 단원구 번영2로안길 35 (성곡동),"연봉 3,000만원 이상",기간의 정함이 없는 근로계약,알앤에스(주),주형 및 금형 제조업
78,상설전시관 공간 디자인 경력자 모집,경력 (최소 5년 0 개월 이상) 필수,대졸(2~3년) ~ 박사,"서울특별시 구로구 디지털로26길 111, 1705호 (구로동, 제이앤케이디지털타워)","연봉 3,000만원 ~ 4,500만원",기간의 정함이 없는 근로계약,(주)360미디어,그 외 기타 창작 및 예술관련 서비스업
79,아스콘 품질관리 직원 채용,경력 (최소 3년 0 개월 이상) 필수,학력무관,제주특별자치도 제주시 한림읍 명월남길 53,"연봉 4,000만원 이상",기간의 정함이 없는 근로계약,유창토건(주),제조업 회사 본부
80,건설감리사무소-사무보조,관계없음,고졸 ~ 박사,서울특별시 관악구 신림로 32 (신림동),월급 191만원 ~ 191만원,기간의 정함이 있는 근로계약,플랜브이주식회사,인력 공급업
81,연세비앤이치과 / 어시스트 / 간호조무사 구인,관계없음,학력무관,"부산광역시 북구 금곡대로 469, 농협하나로마트 2층 연세비앤이치과 (금곡동)","시급 9,160원 ~ 9,600원",기간의 정함이 있는 근로계약,연세비앤이치과,치과 의원
82,(상봉동 코스트코 뒤) 요양보호사 구인,관계없음,학력무관,"서울특별시 중랑구 상봉로25길 31 31, 코스트코 뒤 주소임의기재 (상봉동)","시급 11,550원 ~ 11,550원",기간의 정함이 없는 근로계약(시간(선택)제),하나요양중랑센터,방문 복지서비스 제공업
83,열간단조원 2교대 생산직 모집합니다.,관계없음,학력무관,"경기도 김포시 양촌읍 황금산단로 17, (주)영화단조","시급 10,000원 이상",기간의 정함이 없는 근로계약,(주)영화단조,그 외 기타 1차 철강 제조업
84,쇄석기(크락샤) 기사 채용,경력 (최소 3년 0 개월 이상) 필수,학력무관,제주특별자치도 제주시 한림읍 명월남길 53,"연봉 4,000만원 이상",기간의 정함이 없는 근로계약,유창토건(주),제조업 회사 본부
85,타일영업직원모집,관계없음,대졸(2~3년) ~ 대졸(4년),"서울특별시 중구 을지로11길 18, 을지로3가 광덕빌딩 신관301호 (을지로3가)",월급 280만원 ~ 320만원,기간의 정함이 없는 근로계약,성일요업(주),타일 및 유사 비내화 요업제품 제조업
86,정육가공원 및 운전가능자 구인,관계없음,고졸,"인천광역시 계양구 역골로43번길 50, 성하푸드 (다남동)",월급 250만원 ~ 250만원,기간의 정함이 있는 근로계약,(주)성하푸드,산업용 농ㆍ축산물 및 동ㆍ식물 도매업
87,[신대방역]사무보조 정규직 채용,관계없음,학력무관,"서울특별시 동작구 신대방1가길 38, 106동 213호(상가) (신대방동, 동작상떼빌아파트)",월급 200만원 ~ 250만원,기간의 정함이 없는 근로계약,주식회사 창신,그 외 기타 달리 분류되지 않은 제품 제조업
88,( 양서면 ) 재가 요양보호사 구인 / 4등급 여자어르신,관계없음,학력무관,"경기도 양평군 양서면 상촌길 31-10, 뉴그린빌 2동 304호","시급 11,550원 ~ 11,550원",기간의 정함이 없는 근로계약(시간(선택)제),참사랑재가노인복지센터,노인 요양 복지시설 운영업
89,현장사무원,관계없음,학력무관,"부산광역시 기장군 철마면 반송로 1136, 한전 동부산 전력지사 내",월급 200만원 ~ 200만원,기간의 정함이 있는 근로계약,(주)한국코아엔지니어링,엔지니어링 서비스업
